transaction_id,customer_id,transaction_date,category,product_name,amount,quantity,payment_method,is_returned
TXN-000000,CUST-0083,2025-06-14,clothing,Clothing Item 11,81.82,2,paypal,False
TXN-000001,CUST-0179,2025-04-01,home,Home Item 3,61.83,3,debit_card,False
TXN-000002,CUST-0125,2025-08-01,sports,Sports Item 16,92.15,1,apple_pay,False
TXN-000003,CUST-0023,2025-11-01,home,Home Item 19,44.26,1,paypal,False
TXN-000004,CUST-0135,2025-08-26,home,Home Item 12,159.6,2,apple_pay,False
TXN-000005,CUST-0064,2025-10-18,clothing,Clothing Item 18,79.1,1,debit_card,False
TXN-000006,CUST-0189,2025-03-07,grocery,Grocery Item 17,79.34,2,paypal,False
TXN-000007,CUST-0049,2025-10-20,home,Home Item 18,41.65,1,debit_card,False
TXN-000008,CUST-0013,2025-11-23,sports,Sports Item 16,185.54,2,credit_card,False
TXN-000009,CUST-0146,2025-10-12,home,Home Item 2,97.44,2,paypal,False
TXN-000010,CUST-0122,2025-12-05,electronics,Electronics Item 2,165.16,1,debit_card,False
TXN-000011,CUST-0144,2025-11-25,home,Home Item 14,79.64,1,debit_card,False
TXN-000012,CUST-0097,2025-08-17,grocery,Grocery Item 14,47.3,2,paypal,False
TXN-000013,CUST-0015,2025-06-26,sports,Sports Item 7,116.79,3,paypal,False
TXN-000014,CUST-0040,2025-11-17,clothing,Clothing Item 14,66.4,1,apple_pay,False
TXN-000015,CUST-0120,2025-07-14,home,Home Item 15,33.89,1,credit_card,False
TXN-000016,CUST-0067,2025-11-09,sports,Sports Item 4,307.05,3,debit_card,False
TXN-000017,CUST-0068,2025-06-15,clothing,Clothing Item 20,29.47,1,paypal,False
TXN-000018,CUST-0119,2025-10-26,home,Home Item 18,132.45,3,apple_pay,False
TXN-000019,CUST-0153,2025-08-13,electronics,Electronics Item 1,480.54,2,credit_card,False
TXN-000020,CUST-0172,2025-01-21,sports,Sports Item 9,346.71,3,credit_card,False
TXN-000021,CUST-0044,2025-04-21,grocery,Grocery Item 6,110.79,3,apple_pay,False
TXN-000022,CUST-0125,2025-10-14,electronics,Electronics Item 4,306.58,2,debit_card,False
TXN-000023,CUST-0177,2025-09-30,grocery,Grocery Item 18,74.7,2,credit_card,False
TXN-000024,CUST-0080,2025-06-23,home,Home Item 17,53.92,2,credit_card,False
TXN-000025,CUST-0138,2025-09-03,grocery,Grocery Item 20,29.06,2,apple_pay,False
TXN-000026,CUST-0194,2025-11-22,electronics,Electronics Item 10,135.09,1,apple_pay,False
TXN-000027,CUST-0124,2025-08-11,electronics,Electronics Item 8,293.96,1,debit_card,False
TXN-000028,CUST-0003,2025-02-13,sports,Sports Item 4,76.78,2,apple_pay,False
TXN-000029,CUST-0165,2025-10-22,clothing,Clothing Item 9,189.9,2,apple_pay,False
TXN-000030,CUST-0120,2025-10-03,clothing,Clothing Item 20,132.68,2,debit_card,False
TXN-000031,CUST-0070,2025-09-06,grocery,Grocery Item 1,95.06,2,paypal,False
TXN-000032,CUST-0150,2025-11-18,sports,Sports Item 18,222.21,3,apple_pay,False
TXN-000033,CUST-0141,2025-10-16,sports,Sports Item 7,141.96,2,debit_card,False
TXN-000034,CUST-0059,2025-09-14,grocery,Grocery Item 13,24.43,1,apple_pay,False
TXN-000035,CUST-0166,2025-11-23,clothing,Clothing Item 19,194.72,2,paypal,False
TXN-000036,CUST-0112,2025-12-27,electronics,Electronics Item 5,839.55,3,apple_pay,False
TXN-000037,CUST-0039,2025-10-28,electronics,Electronics Item 20,501.68,2,apple_pay,False
TXN-000038,CUST-0084,2025-08-06,sports,Sports Item 16,231.74,2,credit_card,False
TXN-000039,CUST-0060,2025-09-23,home,Home Item 4,64.81,1,credit_card,False
TXN-000040,CUST-0177,2025-06-14,home,Home Item 10,22.76,1,paypal,False
TXN-000041,CUST-0037,2025-07-22,clothing,Clothing Item 6,167.7,3,debit_card,False
TXN-000042,CUST-0156,2025-09-08,grocery,Grocery Item 19,114.36,3,debit_card,False
TXN-000043,CUST-0163,2025-12-31,home,Home Item 15,70.64,2,paypal,False
TXN-000044,CUST-0040,2025-02-21,electronics,Electronics Item 10,575.36,2,apple_pay,False
TXN-000045,CUST-0116,2025-05-22,home,Home Item 4,79.96,1,debit_card,False
TXN-000046,CUST-0091,2025-10-22,sports,Sports Item 13,238.68,2,paypal,True
TXN-000047,CUST-0175,2025-05-31,electronics,Electronics Item 10,727.98,3,debit_card,False
TXN-000048,CUST-0090,2025-10-30,clothing,Clothing Item 5,117.78,3,credit_card,False
TXN-000049,CUST-0165,2025-12-18,electronics,Electronics Item 12,504.88,2,debit_card,False
TXN-000050,CUST-0075,2025-11-09,home,Home Item 18,134.79,3,paypal,False
TXN-000051,CUST-0069,2025-04-03,clothing,Clothing Item 10,187.1,2,paypal,False
TXN-000052,CUST-0119,2025-11-04,electronics,Electronics Item 13,244.68,1,paypal,False
TXN-000053,CUST-0101,2025-09-18,electronics,Electronics Item 9,391.46,2,apple_pay,False
TXN-000054,CUST-0095,2025-12-22,electronics,Electronics Item 18,382.83,3,paypal,False
TXN-000055,CUST-0056,2025-04-25,electronics,Electronics Item 10,781.11,3,apple_pay,False
TXN-000056,CUST-0011,2025-11-25,electronics,Electronics Item 8,598.16,2,debit_card,False
TXN-000057,CUST-0094,2025-07-08,sports,Sports Item 14,165.72,2,credit_card,False
TXN-000058,CUST-0157,2025-10-06,grocery,Grocery Item 15,27.46,2,apple_pay,False
TXN-000059,CUST-0092,2025-04-29,electronics,Electronics Item 12,472.95,3,credit_card,False
TXN-000060,CUST-0048,2025-11-07,electronics,Electronics Item 20,191.26,2,credit_card,True
TXN-000061,CUST-0085,2025-11-08,clothing,Clothing Item 18,84.02,1,debit_card,False
TXN-000062,CUST-0059,2025-08-15,home,Home Item 9,67.32,1,debit_card,False
TXN-000063,CUST-0138,2025-05-16,home,Home Item 5,26.6,1,credit_card,False
TXN-000064,CUST-0060,2025-10-27,sports,Sports Item 5,62.84,2,apple_pay,False
TXN-000065,CUST-0190,2025-10-08,electronics,Electronics Item 19,351.72,2,credit_card,False
